sentiment_label,stars,sentiment_confidence,text_length,text
Very Negative,4,0.27,867,"i'd give it a 5 for just the tortilla soup which is what i come for, but since i'm rating on the entire restaurant, i can't do it. i love the tortilla soup.  i get it by the bowl (i'd buy it by the gallon if i could) with sour cream and avocado and inhale it.  i don't normally get anything else to eat here.  although, i have had the melted cheese and tortilla appetizer too which is very good. but, i don't know what it is about micheladas here.  i don't like having to make my own.  and it's served in 3 glasses here.  i'll drop them a whole star for that.  i know, rough, but it's a single drink and should be served in a single glass. now, i love their tortillas here.  if you can watch the cooks, there are a couple who are continually making tortillas.  a ball of maza into the tortilla press then on to comal, flip, and into the basket.  a round of yummy!!"
Very Negative,4,0.269,597,"this is a relic, a place that time forgot. a dinosaur, with a dangerous parking situation in a sketchy neighborhood and you had better bring cash. if it was on a busier street in a faster-paced neighborhood, it would have been eaten by the chains.  perhaps. but they have the old-school flavored flattop fried burgers of my earliest memories, fantastic nasty-ass chili dogs with a great following, and the bestest fries you can find outside of the benelux border countries. the fries are worth the trip alone.   and for $8.40 you get a shoebox full of them and four burgers.  suck it, five guys."
Very Negative,5,0.269,606,"they get five stars from me simply for having the most amazing volcano tuna don. what can i say about it that hasn't already been said before? nothing really, you just have to try it for yourself. it's so darned good i will drive 45 minutes from where i live in the middle of nowhere just to get my fix. i've had several other menu items, but i can't say i like them as much. specifically, the seafood dynamite was my least favorite because it just tasted like a mouthful of mayo, and the shoyu ramen was very bland. but no worries, i don't need anything else from their menu. volcano tuna don i heart you."
Very Negative,5,0.268,102,"by far the best gelato, their only competition is frost - a close second. allegro is just too perfect."
Very Negative,3,0.268,1195,"you know everybody raves that this place is so good... but most of the people that i know that rave about it, come here for breakfast. maybe i'll have to give that a go someday. my experience here was for lunch. i had a spinach salad for lunch here, and it just was blasé. it came dry with no dressing. the waiter informed me that he forgot and had to go whip me up some in the kitchen. my partner does come here all the time (at breakfast though)for meetings with her friends and says it is fabulous. i just got my salad was nothing extraordinary or out of the park.  i had a spinach pear salad and it was not dressed, and had half a pair on it with a nut in the middle. that's it. all ingredients weren't totally chopped up and prepared in a cohesive manner and no dressing -- which i had a request because they forgot it - - had absolutely no herbaceous flavor. it came with a dry cut up chicken breast. it was fresh enough, just blasé. my partner had a southwest salad and hers was also dry and uneventful.  what i try it again? you bet! there is a quaint little patio in front of an inner plaza and the doors\windows open completely into the restaurant. next time breakfast? i believe so!"
Very Negative,4,0.268,164,wonderful atmosphere and service. pasta and veal were spot on.  only glitch was the carpaccio .. it was pre-sliced and frozen to the plate.  sent back with no issue
Very Negative,5,0.267,304,"quality sandwich! if you're looking for fresh ingredients in your sandwich the. this place is your place. you can request what you want in a sandwich much like subway but taste and freshness is far above subway. $5 for a half sandwich with a free side, i chose mini carrots. the half sandwich is filling."
Very Negative,4,0.267,165,incredible food. super expensive though worth it for like once every couple months maybe wish it was priced better but burger drink and fries like $16 is a bit steep
Very Negative,5,0.262,224,"the only place that was near riverpark inn in tucson to eat something. that 7.00 jalapeno burger, i got was the best decision i made for being stuck in tucson for august. and they had air conditioning. 5 stars completely."
Very Negative,5,0.262,559,"favorite spot to catch a movie. seats recline fully, spacious booths, comfortable and nice ambiance. great food menu with fair prices and gotta love the beer! just book early as seats are limited and fill up fast.  my only critique of this place would be the jalepeno popcorn. why put pickled jalepenos on popcorn? it makes the kernels super soggy and then you just get handfuls of peppers...lightly frying up the jalepenos with the kernels makes them crispy and delicious!!! that small gripe aside, this place rocks. ill rarely catch a movie anywhere else."
